year,month,day,hour,PM2.5,TEMP,timestamp,Musim
2013,3,1,0,4.0,-0.7,2013-03-01 00:00:00,Semi
2013,3,1,1,8.0,-1.1,2013-03-01 01:00:00,Semi
2013,3,1,2,7.0,-1.1,2013-03-01 02:00:00,Semi
2013,3,1,3,6.0,-1.4,2013-03-01 03:00:00,Semi
2013,3,1,4,3.0,-2.0,2013-03-01 04:00:00,Semi
2013,3,1,5,5.0,-2.2,2013-03-01 05:00:00,Semi
2013,3,1,6,3.0,-2.6,2013-03-01 06:00:00,Semi
2013,3,1,7,3.0,-1.6,2013-03-01 07:00:00,Semi
2013,3,1,8,3.0,0.1,2013-03-01 08:00:00,Semi
2013,3,1,9,3.0,1.2,2013-03-01 09:00:00,Semi
2013,3,1,10,3.0,1.9,2013-03-01 10:00:00,Semi
2013,3,1,11,3.0,2.9,2013-03-01 11:00:00,Semi
2013,3,1,12,3.0,3.9,2013-03-01 12:00:00,Semi
2013,3,1,13,3.0,5.3,2013-03-01 13:00:00,Semi
2013,3,1,14,6.0,6.0,2013-03-01 14:00:00,Semi
2013,3,1,15,8.0,6.2,2013-03-01 15:00:00,Semi
2013,3,1,16,9.0,5.9,2013-03-01 16:00:00,Semi
2013,3,1,17,10.0,4.3,2013-03-01 17:00:00,Semi
2013,3,1,18,11.0,3.1,2013-03-01 18:00:00,Semi
2013,3,1,19,8.0,2.3,2013-03-01 19:00:00,Semi
2013,3,1,20,11.0,1.7,2013-03-01 20:00:00,Semi
2013,3,1,21,12.0,0.6,2013-03-01 21:00:00,Semi
2013,3,1,22,15.0,0.9,2013-03-01 22:00:00,Semi
2013,3,1,23,24.0,-0.2,2013-03-01 23:00:00,Semi
2013,3,2,0,22.0,-0.4,2013-03-02 00:00:00,Semi
2013,3,2,1,14.0,-1.0,2013-03-02 01:00:00,Semi
2013,3,2,2,13.0,-1.5,2013-03-02 02:00:00,Semi
2013,3,2,3,3.0,-1.4,2013-03-02 03:00:00,Semi
2013,3,2,4,3.0,-1.5,2013-03-02 04:00:00,Semi
2013,3,2,5,9.0,-1.8,2013-03-02 05:00:00,Semi
2013,3,2,6,4.0,-2.5,2013-03-02 06:00:00,Semi
2013,3,2,7,3.0,-1.7,2013-03-02 07:00:00,Semi
2013,3,2,8,3.0,-0.4,2013-03-02 08:00:00,Semi
2013,3,2,9,10.0,0.6,2013-03-02 09:00:00,Semi
2013,3,2,10,11.0,1.7,2013-03-02 10:00:00,Semi
2013,3,2,11,18.0,2.2,2013-03-02 11:00:00,Semi
2013,3,2,12,26.0,2.7,2013-03-02 12:00:00,Semi
2013,3,2,13,25.0,3.3,2013-03-02 13:00:00,Semi
2013,3,2,14,26.0,3.8,2013-03-02 14:00:00,Semi
2013,3,2,15,37.0,3.9,2013-03-02 15:00:00,Semi
2013,3,2,16,37.0,3.5,2013-03-02 16:00:00,Semi
2013,3,2,17,44.0,2.2,2013-03-02 17:00:00,Semi
2013,3,2,18,54.0,1.2,2013-03-02 18:00:00,Semi
2013,3,2,19,61.0,1.5,2013-03-02 19:00:00,Semi
2013,3,2,20,67.0,1.2,2013-03-02 20:00:00,Semi
2013,3,2,21,74.0,0.6,2013-03-02 21:00:00,Semi
2013,3,2,22,81.0,-0.6,2013-03-02 22:00:00,Semi
2013,3,2,23,93.0,-0.8,2013-03-02 23:00:00,Semi
2013,3,3,0,112.0,-1.4,2013-03-03 00:00:00,Semi
2013,3,3,1,109.0,-2.0,2013-03-03 01:00:00,Semi
2013,3,3,2,110.0,-2.8,2013-03-03 02:00:00,Semi
2013,3,3,3,105.0,-2.6,2013-03-03 03:00:00,Semi
2013,3,3,4,106.0,-4.3,2013-03-03 04:00:00,Semi
2013,3,3,5,101.0,-5.6,2013-03-03 05:00:00,Semi
2013,3,3,6,91.0,-5.8,2013-03-03 06:00:00,Semi
2013,3,3,7,79.0,-3.1,2013-03-03 07:00:00,Semi
2013,3,3,8,77.0,0.7,2013-03-03 08:00:00,Semi
2013,3,3,9,83.0,3.5,2013-03-03 09:00:00,Semi
2013,3,3,10,94.0,6.5,2013-03-03 10:00:00,Semi
2013,3,3,11,96.0,11.4,2013-03-03 11:00:00,Semi
2013,3,3,12,91.0,13.8,2013-03-03 12:00:00,Semi
2013,3,3,13,98.0,16.0,2013-03-03 13:00:00,Semi
2013,3,3,14,72.0,16.7,2013-03-03 14:00:00,Semi
2013,3,3,15,48.0,16.9,2013-03-03 15:00:00,Semi
2013,3,3,16,28.0,16.4,2013-03-03 16:00:00,Semi
2013,3,3,17,26.0,13.1,2013-03-03 17:00:00,Semi
2013,3,3,18,24.0,8.7,2013-03-03 18:00:00,Semi
2013,3,3,19,19.0,12.2,2013-03-03 19:00:00,Semi
2013,3,3,20,60.0,11.7,2013-03-03 20:00:00,Semi
2013,3,3,21,117.0,5.3,2013-03-03 21:00:00,Semi
2013,3,3,22,54.0,3.1,2013-03-03 22:00:00,Semi
2013,3,3,23,46.0,5.2,2013-03-03 23:00:00,Semi
2013,3,4,0,42.0,7.7,2013-03-04 00:00:00,Semi
2013,3,4,1,49.0,8.2,2013-03-04 01:00:00,Semi
2013,3,4,2,34.0,8.1,2013-03-04 02:00:00,Semi
2013,3,4,3,12.0,7.2,2013-03-04 03:00:00,Semi
2013,3,4,4,7.0,6.0,2013-03-04 04:00:00,Semi
2013,3,4,5,10.0,2.7,2013-03-04 05:00:00,Semi
2013,3,4,6,13.0,3.8,2013-03-04 06:00:00,Semi
2013,3,4,7,14.0,6.5,2013-03-04 07:00:00,Semi
2013,3,4,8,13.0,9.0,2013-03-04 08:00:00,Semi
2013,3,4,9,15.0,10.6,2013-03-04 09:00:00,Semi
2013,3,4,10,16.0,11.9,2013-03-04 10:00:00,Semi
2013,3,4,11,18.0,13.1,2013-03-04 11:00:00,Semi
2013,3,4,12,13.0,14.2,2013-03-04 12:00:00,Semi
2013,3,4,13,3.0,15.3,2013-03-04 13:00:00,Semi
2013,3,4,14,3.0,15.2,2013-03-04 14:00:00,Semi
2013,3,4,15,10.0,15.3,2013-03-04 15:00:00,Semi
2013,3,4,16,14.0,14.5,2013-03-04 16:00:00,Semi
2013,3,4,17,20.0,12.7,2013-03-04 17:00:00,Semi
2013,3,4,18,25.0,11.6,2013-03-04 18:00:00,Semi
2013,3,4,19,31.0,10.9,2013-03-04 19:00:00,Semi
2013,3,4,20,34.0,9.9,2013-03-04 20:00:00,Semi
2013,3,4,21,40.0,8.4,2013-03-04 21:00:00,Semi
2013,3,4,22,51.0,8.6,2013-03-04 22:00:00,Semi
2013,3,4,23,58.0,7.7,2013-03-04 23:00:00,Semi
2013,3,5,0,71.0,4.7,2013-03-05 00:00:00,Semi
2013,3,5,1,91.0,1.1,2013-03-05 01:00:00,Semi
2013,3,5,2,100.0,-0.6,2013-03-05 02:00:00,Semi
2013,3,5,3,103.0,0.2,2013-03-05 03:00:00,Semi
2013,3,5,4,115.0,1.8,2013-03-05 04:00:00,Semi
2013,3,5,5,117.0,0.6,2013-03-05 05:00:00,Semi
2013,3,5,6,104.0,-0.2,2013-03-05 06:00:00,Semi
2013,3,5,7,106.0,2.9,2013-03-05 07:00:00,Semi
2013,3,5,8,111.0,5.1,2013-03-05 08:00:00,Semi
2013,3,5,9,114.0,7.7,2013-03-05 09:00:00,Semi
2013,3,5,10,131.0,9.4,2013-03-05 10:00:00,Semi
2013,3,5,11,138.0,10.6,2013-03-05 11:00:00,Semi
2013,3,5,12,142.0,11.9,2013-03-05 12:00:00,Semi
2013,3,5,13,163.0,12.6,2013-03-05 13:00:00,Semi
2013,3,5,14,168.0,13.5,2013-03-05 14:00:00,Semi
2013,3,5,15,165.0,13.8,2013-03-05 15:00:00,Semi
2013,3,5,16,166.0,13.2,2013-03-05 16:00:00,Semi
2013,3,5,17,190.0,12.1,2013-03-05 17:00:00,Semi
2013,3,5,18,203.0,9.0,2013-03-05 18:00:00,Semi
2013,3,5,19,210.0,5.3,2013-03-05 19:00:00,Semi
2013,3,5,20,205.0,3.3,2013-03-05 20:00:00,Semi
2013,3,5,21,215.0,2.9,2013-03-05 21:00:00,Semi
2013,3,5,22,219.0,5.2,2013-03-05 22:00:00,Semi
2013,3,5,23,226.0,4.9,2013-03-05 23:00:00,Semi
2013,3,6,0,284.0,4.9,2013-03-06 00:00:00,Semi
2013,3,6,1,272.0,4.8,2013-03-06 01:00:00,Semi
2013,3,6,2,242.0,4.1,2013-03-06 02:00:00,Semi
2013,3,6,3,212.0,4.0,2013-03-06 03:00:00,Semi
2013,3,6,4,192.0,3.9,2013-03-06 04:00:00,Semi
2013,3,6,5,188.0,4.1,2013-03-06 05:00:00,Semi
2013,3,6,6,186.0,4.5,2013-03-06 06:00:00,Semi
2013,3,6,7,188.0,5.7,2013-03-06 07:00:00,Semi
2013,3,6,8,194.0,6.6,2013-03-06 08:00:00,Semi
2013,3,6,9,184.0,7.5,2013-03-06 09:00:00,Semi
2013,3,6,10,175.0,8.7,2013-03-06 10:00:00,Semi
2013,3,6,11,179.0,10.1,2013-03-06 11:00:00,Semi
2013,3,6,12,192.0,11.1,2013-03-06 12:00:00,Semi
2013,3,6,13,201.0,12.6,2013-03-06 13:00:00,Semi
2013,3,6,14,230.0,14.5,2013-03-06 14:00:00,Semi
2013,3,6,15,246.0,14.7,2013-03-06 15:00:00,Semi
2013,3,6,16,248.0,14.2,2013-03-06 16:00:00,Semi
2013,3,6,17,230.0,11.6,2013-03-06 17:00:00,Semi
2013,3,6,18,239.0,6.8,2013-03-06 18:00:00,Semi
2013,3,6,19,242.0,5.1,2013-03-06 19:00:00,Semi
2013,3,6,20,254.0,4.4,2013-03-06 20:00:00,Semi
2013,3,6,21,266.0,3.8,2013-03-06 21:00:00,Semi
2013,3,6,22,254.0,2.4,2013-03-06 22:00:00,Semi
2013,3,6,23,260.0,2.3,2013-03-06 23:00:00,Semi
2013,3,7,0,250.0,1.5,2013-03-07 00:00:00,Semi
2013,3,7,1,240.0,0.7,2013-03-07 01:00:00,Semi
2013,3,7,2,238.0,1.5,2013-03-07 02:00:00,Semi
2013,3,7,3,243.0,0.3,2013-03-07 03:00:00,Semi
2013,3,7,4,246.0,-0.9,2013-03-07 04:00:00,Semi
2013,3,7,5,275.0,1.6,2013-03-07 05:00:00,Semi
2013,3,7,6,306.0,0.3,2013-03-07 06:00:00,Semi
2013,3,7,7,320.0,2.4,2013-03-07 07:00:00,Semi
2013,3,7,8,292.0,8.3,2013-03-07 08:00:00,Semi
2013,3,7,9,251.0,10.1,2013-03-07 09:00:00,Semi
2013,3,7,10,228.0,12.7,2013-03-07 10:00:00,Semi
2013,3,7,11,217.0,16.5,2013-03-07 11:00:00,Semi
2013,3,7,12,255.0,17.1,2013-03-07 12:00:00,Semi
2013,3,7,13,258.0,17.7,2013-03-07 13:00:00,Semi
2013,3,7,14,277.0,18.3,2013-03-07 14:00:00,Semi
2013,3,7,15,282.0,18.6,2013-03-07 15:00:00,Semi
2013,3,7,16,267.0,17.9,2013-03-07 16:00:00,Semi
2013,3,7,17,216.0,15.4,2013-03-07 17:00:00,Semi
2013,3,7,18,201.0,14.4,2013-03-07 18:00:00,Semi
2013,3,7,19,211.0,13.4,2013-03-07 19:00:00,Semi
2013,3,7,20,227.0,11.8,2013-03-07 20:00:00,Semi
2013,3,7,21,282.0,9.2,2013-03-07 21:00:00,Semi
2013,3,7,22,363.0,7.5,2013-03-07 22:00:00,Semi
2013,3,7,23,376.0,6.6,2013-03-07 23:00:00,Semi
2013,3,8,0,344.0,4.1,2013-03-08 00:00:00,Semi
2013,3,8,1,339.0,3.3,2013-03-08 01:00:00,Semi
2013,3,8,2,339.0,2.5,2013-03-08 02:00:00,Semi
2013,3,8,3,324.0,1.8,2013-03-08 03:00:00,Semi
2013,3,8,4,322.0,1.3,2013-03-08 04:00:00,Semi
2013,3,8,5,315.0,1.4,2013-03-08 05:00:00,Semi
2013,3,8,6,310.0,1.1,2013-03-08 06:00:00,Semi
2013,3,8,7,309.0,5.7,2013-03-08 07:00:00,Semi
2013,3,8,8,310.0,10.9,2013-03-08 08:00:00,Semi
2013,3,8,9,326.0,16.9,2013-03-08 09:00:00,Semi
2013,3,8,10,326.0,19.1,2013-03-08 10:00:00,Semi
2013,3,8,11,219.0,20.5,2013-03-08 11:00:00,Semi
2013,3,8,12,104.0,21.7,2013-03-08 12:00:00,Semi
2013,3,8,13,121.0,22.5,2013-03-08 13:00:00,Semi
2013,3,8,14,184.0,17.4,2013-03-08 14:00:00,Semi
2013,3,8,15,330.0,13.9,2013-03-08 15:00:00,Semi
2013,3,8,16,172.0,11.9,2013-03-08 16:00:00,Semi
2013,3,8,17,114.0,10.3,2013-03-08 17:00:00,Semi
2013,3,8,18,82.0,9.3,2013-03-08 18:00:00,Semi
2013,3,8,19,84.0,8.0,2013-03-08 19:00:00,Semi
2013,3,8,20,91.0,7.9,2013-03-08 20:00:00,Semi
2013,3,8,21,81.0,7.2,2013-03-08 21:00:00,Semi
2013,3,8,22,90.0,6.3,2013-03-08 22:00:00,Semi
2013,3,8,23,79.0,5.7,2013-03-08 23:00:00,Semi
2013,3,9,0,49.0,3.6,2013-03-09 00:00:00,Semi
2013,3,9,1,89.0,2.1,2013-03-09 01:00:00,Semi
2013,3,9,2,89.0,1.4,2013-03-09 02:00:00,Semi
2013,3,9,3,98.0,1.1,2013-03-09 03:00:00,Semi
2013,3,9,4,97.0,1.8,2013-03-09 04:00:00,Semi
2013,3,9,5,102.0,3.2,2013-03-09 05:00:00,Semi
2013,3,9,6,110.0,2.8,2013-03-09 06:00:00,Semi
2013,3,9,7,108.0,4.6,2013-03-09 07:00:00,Semi
2013,3,9,8,104.0,8.4,2013-03-09 08:00:00,Semi
